Jeudi réception;Début semaine;Fin semaine;Métro;Code client;Jours présents;Dates sans lignes;Lignes;Dernière mise à jour;Fichier;SHA256
2026-08-27;2026-08-20;2026-08-26;Innovation;22658;7;;463;27.08.2026 04:15:01;Semaine_2026-08-20_au_2026-08-26/Innovation/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;df1efcc0bc060163e1ad8000521cbf517f1843dbb9f30d8f3f220ddae6d80f95
2026-08-27;2026-08-20;2026-08-26;St-Augustin;22531;7;;358;27.08.2026 04:15:01;Semaine_2026-08-20_au_2026-08-26/St-Augustin/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;53821653ce4c28a935fff15a81238e2a27038f150c7392bff5a01af2fe7ab6ea
2026-08-27;2026-08-20;2026-08-26;St-Nicolas;22636;7;;387;27.08.2026 04:15:01;Semaine_2026-08-20_au_2026-08-26/St-Nicolas/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;521d9ab415be25a4c387b224322319c3c5551fe27f6068b2c27fbbef725c82a0
2026-08-27;2026-08-20;2026-08-26;Ste-Foy;22992;7;;439;27.08.2026 04:15:01;Semaine_2026-08-20_au_2026-08-26/Ste-Foy/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;61fd78361816d57ed9097cabeba5c71fb603127534b3a331e8025cb722ab84b9
2026-09-03;2026-08-27;2026-09-02;Innovation;22658;7;;494;03.09.2026 04:12:56;Semaine_2026-08-27_au_2026-09-02/Innovation/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;9c2af0575e4bca51d95c52e762e9f05470ba543a079e853e349537555f3d869f
2026-09-03;2026-08-27;2026-09-02;St-Augustin;22531;7;;337;03.09.2026 04:12:56;Semaine_2026-08-27_au_2026-09-02/St-Augustin/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;bd8c2b5c22d14f1a440bc87e3cb6660f762662b2869dde3afe0aea19d12d5754
2026-09-03;2026-08-27;2026-09-02;St-Nicolas;22636;7;;360;03.09.2026 04:12:56;Semaine_2026-08-27_au_2026-09-02/St-Nicolas/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;d7709133d3d3395f14c85efa5e9535f48660188a51e8fbafd3027de40b2293f7
2026-09-03;2026-08-27;2026-09-02;Ste-Foy;22992;7;;426;03.09.2026 04:12:56;Semaine_2026-08-27_au_2026-09-02/Ste-Foy/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;e31f29a548aa6a84090dd5578146a7342dbfc361205872d9ce6666e91a456dfe
2026-09-10;2026-09-03;2026-09-09;Innovation;22658;6;2026-09-07;430;10.09.2026 04:14:24;Semaine_2026-09-03_au_2026-09-09/Innovation/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;d79ee66c4f008056fd1c33d4ed2f94595a814bf657b0c17d119e2c74255de938
2026-09-10;2026-09-03;2026-09-09;St-Augustin;22531;6;2026-09-07;273;10.09.2026 04:14:24;Semaine_2026-09-03_au_2026-09-09/St-Augustin/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;cb7f1899a0c1dcc3a4a99cf4521f15c9af142f00c4f67d42465ee54024cce69a
2026-09-10;2026-09-03;2026-09-09;St-Nicolas;22636;6;2026-09-07;347;10.09.2026 04:14:24;Semaine_2026-09-03_au_2026-09-09/St-Nicolas/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;cf6b543332757c1d8c1c8dffea2f4b51fd95575900e1885af3131c277f451e33
2026-09-10;2026-09-03;2026-09-09;Ste-Foy;22992;6;2026-09-07;310;10.09.2026 04:14:24;Semaine_2026-09-03_au_2026-09-09/Ste-Foy/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;ba8c61fdb0b39faed4be93cb449a168761dc1f61c5596864643a87c8594d1a3f
2026-09-17;2026-09-10;2026-09-16;Innovation;22658;6;2026-09-16;428;16.09.2026 21:38:03;Semaine_2026-09-10_au_2026-09-16/Innovation/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;47c753f97fba3b6564cfcdb24b01b167af1b0e4b88c301ea44c5cdbb695f104f
2026-09-17;2026-09-10;2026-09-16;St-Augustin;22531;6;2026-09-16;286;16.09.2026 21:38:03;Semaine_2026-09-10_au_2026-09-16/St-Augustin/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;52a83d89a33c7e15bed1a7cedccb72b06aaab346755cceb39eb50fbee8d7eb2e
2026-09-17;2026-09-10;2026-09-16;St-Nicolas;22636;6;2026-09-16;325;16.09.2026 21:38:03;Semaine_2026-09-10_au_2026-09-16/St-Nicolas/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;73dc7f2647cac76ffc7a2f23fe48cd5c53c4fef1cb3442f58482e5368fcf8cb5
2026-09-17;2026-09-10;2026-09-16;Ste-Foy;22992;6;2026-09-16;308;16.09.2026 21:38:03;Semaine_2026-09-10_au_2026-09-16/Ste-Foy/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;fd05dbe1311d1cfa8fb882e01dd1a6435bd707737c7f6a65105f99241cbf93d0
2026-09-24;2026-09-17;2026-09-23;Innovation;22658;7;;493;24.09.2026 04:15:30;Semaine_2026-09-17_au_2026-09-23/Innovation/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;397b2c3da95fc2b51c3fe8f8b3b96bdf610b921546519425afc936f1e1d6abd8
2026-09-24;2026-09-17;2026-09-23;St-Augustin;22531;7;;272;24.09.2026 04:15:30;Semaine_2026-09-17_au_2026-09-23/St-Augustin/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;6ae2b29a4c42291b13f5760963b4132165ce95cbf6608cbef232807e34e8a68a
2026-09-24;2026-09-17;2026-09-23;St-Nicolas;22636;7;;377;24.09.2026 04:15:30;Semaine_2026-09-17_au_2026-09-23/St-Nicolas/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;6f8cc741a45cc216c41b8520dd94dc3126ed9dadbb8e67c94201b6834bb0b81e
2026-09-24;2026-09-17;2026-09-23;Ste-Foy;22992;7;;327;24.09.2026 04:15:30;Semaine_2026-09-17_au_2026-09-23/Ste-Foy/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;219bb8f5aa02be52378b5d9448c8772be263c3926b6b873ff519e6981e173282
